metric,mean,std,min,max,median,count
nelo_eigvec_cos_top10,0.24000761123855277,0.09808365377377658,0.0651944502198997,0.47611066247276684,0.24433821366980385,78
nelo_eigvec_cos_top20,0.18768939594744052,0.06613527382781968,0.05749954126352258,0.3393348131540237,0.1921002085491511,78
nelo_eigvec_cos_top50,0.12638132562720122,0.039484647475930994,0.054209946004127055,0.2399772535469737,0.1265362117117248,78
nelo_eigvec_cos_all,0.11535638287025271,0.03587378001643086,0.0514068476667368,0.22278715537507543,0.11442583276954826,78
nelo_eigvec_cos_0,0.29096128292715573,0.3104382154651567,1.5050577768846242e-07,0.9982182314470959,0.1491334718945319,78
nelo_eigvec_cos_1,0.3381537612372548,0.31188817837684313,6.925148396155405e-09,0.9655852750484161,0.21522968963311168,78
nelo_eigvec_cos_2,0.279833824360727,0.26358652531811894,5.593364254169291e-06,0.9482656125784359,0.20312689639477477,78
nelo_eigvec_cos_3,0.2362157255619313,0.2592020451581464,2.464662049379104e-07,0.9919715787853469,0.12165603173902845,78
nelo_eigvec_cos_4,0.2367829473799459,0.24187105717125992,8.222428487811217e-14,0.9654127936934751,0.15334441305080596,78
nelo_eigvec_cos_5,0.23898962761719758,0.23645621210327936,1.0473137166248643e-14,0.9769371101424404,0.1586468324072886,78
nelo_eigvec_cos_6,0.2238544380540096,0.20662088666805856,0.0008508711058878888,0.8820359049641303,0.1545698716193113,78
nelo_eigvec_cos_7,0.19638060960078238,0.20084109028075783,4.9579723280135695e-05,0.9464934411804937,0.14080270944334566,78
nelo_eigvec_cos_8,0.19453152642349508,0.21025433323393242,5.921111317800837e-09,0.9879379141228222,0.11893137329161355,78
nelo_eigvec_cos_9,0.16437236922302811,0.18708573883969262,2.763092982329006e-06,0.8489962148220148,0.09640280838351427,78
nelo_eigvec_cos_10,0.15816646989586672,0.14989543045371298,0.0006581885595083773,0.8569572734097498,0.10191284499511016,78
nelo_eigvec_cos_11,0.14585883337367125,0.16701919719126587,7.29297602310237e-15,0.8946989729922353,0.08792187514249046,78
nelo_eigvec_cos_12,0.15537511366815446,0.16305795003494564,1.8276173177448758e-14,0.5868499821451991,0.10024276277093261,78
nelo_eigvec_cos_13,0.15268656072373016,0.14372450620615168,4.921490321839678e-14,0.7890075959070134,0.1316042965597459,78
nelo_eigvec_cos_14,0.15293798652122267,0.17671417953649204,4.201507710216916e-14,0.9248947862426194,0.10432235163687925,78
nelo_eigvec_cos_15,0.16762473341573111,0.18898173503929458,0.0030962871430825316,0.9038036500665997,0.10348927132140397,78
nelo_eigvec_cos_16,0.11789857473513607,0.13931538340275387,0.0003401521435296782,0.8705934023415495,0.07376844794417334,78
nelo_eigvec_cos_17,0.11362540445518586,0.13336552366864032,2.540377709475579e-13,0.6041334974410435,0.06926763070412637,78
nelo_eigvec_cos_18,0.08301941119513814,0.0792235317906267,0.0003017392684835664,0.3770373204727974,0.05355251118892018,78
nelo_eigvec_cos_19,0.10651871857944684,0.11498629438822283,0.00010164781316747645,0.5424876851673457,0.06918432609401406,78
nelo_eigvec_cos_20,0.1290441579977182,0.15082721868632715,6.088562249608049e-14,0.5826889937120865,0.06388881608506948,78
nelo_eigvec_cos_21,0.1168549172294501,0.12564456375578753,8.360705034240247e-14,0.5411783980858597,0.079353334767337,78
nelo_eigvec_cos_22,0.1060957771705106,0.1056785053248379,0.0005065299096312956,0.5392652114457092,0.07098879196502743,78
nelo_eigvec_cos_23,0.11260393299408597,0.12310539188262863,0.0005063143624762087,0.5802430797544795,0.07662398436982223,78
nelo_eigvec_cos_24,0.09971614975666639,0.09912877770124848,7.720682859785941e-06,0.40851573691634685,0.06889909324292542,78
nelo_eigvec_cos_25,0.11343217233098428,0.11675124444162036,0.00031633832302176455,0.5482928102429844,0.07812156888628147,78
nelo_eigvec_cos_26,0.10132977326685358,0.10966744370646438,6.539815107988291e-14,0.5645983022041522,0.0663959796974922,78
nelo_eigvec_cos_27,0.09810617478957474,0.11331702401271466,4.6711011417806916e-12,0.5826534912195961,0.05696593444493579,78
nelo_eigvec_cos_28,0.07647302782719151,0.07937186716186503,2.4530067995696945e-13,0.38366961391831905,0.04341049329870766,78
nelo_eigvec_cos_29,0.08912292691701709,0.09803324537184656,0.0002075363031395606,0.46223085858443763,0.04937173596227478,78
nelo_eigvec_cos_30,0.07662871050608923,0.09507262073561226,5.539544737073431e-05,0.5101846074614234,0.040137807011265944,78
nelo_eigvec_cos_31,0.09188947693025848,0.11334041311712999,3.8339903276406067e-13,0.7354071527294912,0.06072372345769016,78
nelo_eigvec_cos_32,0.08769047578774064,0.08323652916559614,5.96185806768754e-15,0.4019643869478653,0.06502121827081112,78
nelo_eigvec_cos_33,0.05913565527995848,0.06278703626460704,2.378591245388069e-13,0.2705724456443522,0.033605121869386884,78
nelo_eigvec_cos_34,0.06912724529070921,0.07993336163306206,9.307145232496566e-14,0.36312976912338374,0.03963223840774591,78
nelo_eigvec_cos_35,0.08916523589817198,0.10537984324173107,4.289986108607916e-13,0.7125227897519715,0.05847989137770465,78
nelo_eigvec_cos_36,0.06939080822079964,0.08117015710319464,3.1771278966068004e-05,0.3374274990373154,0.03604559225586534,78
nelo_eigvec_cos_37,0.08389402448256023,0.07937588746654413,0.00030993321784421606,0.2986300318082369,0.05611982188301247,78
nelo_eigvec_cos_38,0.08441993803483655,0.10719807013316847,3.645637824291651e-14,0.5272467517473003,0.04317548476479993,78
nelo_eigvec_cos_39,0.08920155758845329,0.09236548213871736,2.1955839683535954e-15,0.40584856974921446,0.06264047641569508,78
nelo_eigvec_cos_40,0.08134280695682573,0.07544657082438545,5.963703073031835e-14,0.27939049164825563,0.05565145890571467,78
nelo_eigvec_cos_41,0.08143785128813609,0.08661618954220875,3.4954548708311025e-14,0.4225201653793667,0.04764062334770439,78
nelo_eigvec_cos_42,0.07340263868082463,0.07904214078518404,6.821298273810948e-05,0.43232315608285493,0.04808528977745016,78
nelo_eigvec_cos_43,0.07655771204316163,0.0801110473648158,1.869998262935838e-14,0.4216154278288693,0.05042632342582098,78
nelo_eigvec_cos_44,0.07831193563021709,0.0896524577147392,0.00040357173956701736,0.461628664267293,0.05813508355209704,78
